"id","name","state","classification","population","created_at","updated_at"
"183","Barpeta Road","Assam","M.B","35,725","2015-03-15 04:06:11.43256","2015-03-15 04:06:11.43256"
"184","Barrackpur","West Bengal","\N","\N","2015-03-15 04:06:11.4447","2015-03-15 04:06:11.4447"
"185","Barwani","Madhya Pradesh","\N","\N","2015-03-15 04:06:11.454461","2015-03-15 04:06:11.454461"
"186","Barwala","Haryana","M.C","33,132","2015-03-15 04:06:11.465808","2015-03-15 04:06:11.465808"
"187","Basavan Bagevadi","Karnataka","T.P.","33,132","2015-03-15 04:06:11.477029","2015-03-15 04:06:11.477029"
"188","Basudebpur","Odisha","N.A.C","30,006","2015-03-15 04:06:11.487727","2015-03-15 04:06:11.487727"
"189","Batala","Punjab","UA","1,47,872","2015-03-15 04:06:11.499105","2015-03-15 04:06:11.499105"
"190","Bathinda","Punjab","M.Cl","2,17,256","2015-03-15 04:06:11.510145","2015-03-15 04:06:11.510145"
"191","Bawal","Haryana","\N","\N","2015-03-15 04:06:11.520942","2015-03-15 04:06:11.520942"
"192","Bazpur","Uttarakhand","M.B","21,792","2015-03-15 04:06:11.532432","2015-03-15 04:06:11.532432"
"193","Beawar","Rajasthan","\N","\N","2015-03-15 04:06:11.543196","2015-03-15 04:06:11.543196"
"194","Begusarai","Bihar","M.Corp.","1,07,623","2015-03-15 04:06:11.554322","2015-03-15 04:06:11.554322"
"195","Behea","Bihar","N.A","20,741","2015-03-15 04:06:11.566515","2015-03-15 04:06:11.566515"
"196","Belgaum","Karnataka","M.Corp.","8,76,523","2015-03-15 04:06:11.576399","2015-03-15 04:06:11.576399"
"197","Bellampalle","Andhra Pradesh","M","66,792","2015-03-15 04:06:11.587531","2015-03-15 04:06:11.587531"
"198","Ballary","Karnataka","\N","\N","2015-03-15 04:06:11.598536","2015-03-15 04:06:11.598536"
"199","Belpahar","Odisha","N.A.C","32,826","2015-03-15 04:06:11.609615","2015-03-15 04:06:11.609615"
"200","Bemetra","Chhattisgarh","N.P","23,315","2015-03-15 04:06:11.620891","2015-03-15 04:06:11.620891"
"201","Berinag","Uttarakhand","\N","\N","2015-03-15 04:06:11.631896","2015-03-15 04:06:11.631896"
"202","Bethamcherla","Andhra Pradesh","C.T","30,973","2015-03-15 04:06:11.64298","2015-03-15 04:06:11.64298"
"203","Bettiah","Bihar","M","1,16,670","2015-03-15 04:06:11.654432","2015-03-15 04:06:11.654432"
"204","Betul","Madhya Pradesh","\N","\N","2015-03-15 04:06:11.665125","2015-03-15 04:06:11.665125"
"205","Bhabua","Bihar","M","41,755","2015-03-15 04:06:11.676194","2015-03-15 04:06:11.676194"
"206","Bhadrachalam","Andhra Pradesh","C.T","42,650","2015-03-15 04:06:11.68829","2015-03-15 04:06:11.68829"
"207","Bhadrak","Odisha","M","92,515","2015-03-15 04:06:11.698332","2015-03-15 04:06:11.698332"
"208","Bhagalpur","Bihar","M.Corp.","3,50,133","2015-03-15 04:06:11.709166","2015-03-15 04:06:11.709166"
"209","Bhagha Purana","Punjab","N.P","21,596","2015-03-15 04:06:11.720482","2015-03-15 04:06:11.720482"
"210","Bhainsa","Andhra Pradesh","N.P","41,331","2015-03-15 04:06:11.731537","2015-03-15 04:06:11.731537"
"211","Bhajanpura","Delhi","\N","\N","2015-03-15 04:06:11.74259","2015-03-15 04:06:11.74259"
"212","Bhandara","Maharashtra","\N","\N","2015-03-15 04:06:11.753609","2015-03-15 04:06:11.753609"
"213","Bharatpur","Rajasthan","\N","\N","2015-03-15 04:06:11.764657","2015-03-15 04:06:11.764657"
"214","Bharthana","Uttar Pradesh","\N","\N","2015-03-15 04:06:11.77586","2015-03-15 04:06:11.77586"
"215","Bharuch","Gujarat","\N","1,48,140","2015-03-15 04:06:11.786664","2015-03-15 04:06:11.786664"
"216","Bhatapara","Chhattisgarh","M","50,118","2015-03-15 04:06:11.79783","2015-03-15 04:06:11.79783"
"217","Bhavani","Tamil Nadu","\N","\N","2015-03-15 04:06:11.810559","2015-03-15 04:06:11.810559"
"218","Bhavnagar","Gujarat","UA","6,06,282","2015-03-15 04:06:11.819746","2015-03-15 04:06:11.819746"
"219","Bhawanipatna","Odisha","M","60,787","2015-03-15 04:06:11.831103","2015-03-15 04:06:11.831103"
"220","Bheemunipatnam","Andhra Pradesh","UA","48,664","2015-03-15 04:06:11.842176","2015-03-15 04:06:11.842176"
"221","Bhilai","Chhattisgarh","\N","\N","2015-03-15 04:06:11.853214","2015-03-15 04:06:11.853214"
"222","Bhilwara","Rajasthan","\N","\N","2015-03-15 04:06:11.864285","2015-03-15 04:06:11.864285"
"223","Bhimavaram","Andhra Pradesh","UA","1,42,064","2015-03-15 04:06:11.875342","2015-03-15 04:06:11.875342"
"224","Bhinmal","Rajasthan","\N","\N","2015-03-15 04:06:11.886411","2015-03-15 04:06:11.886411"
"225","Bhiwandi","Maharashtra","\N","\N","2015-03-15 04:06:11.897681","2015-03-15 04:06:11.897681"
"226","Bhiwani","Haryana","M. Cl","1,69,531","2015-03-15 04:06:11.908745","2015-03-15 04:06:11.908745"
"227","Bhongir","Andhra Pradesh","M","50,407","2015-03-15 04:06:11.919576","2015-03-15 04:06:11.919576"
"228","Bhopal","Madhya Pradesh","M.Corp.","57,85,245","2015-03-15 04:06:11.932131","2015-03-15 04:06:11.932131"
"229","Bhuban","Odisha","N.A.C","20,234","2015-03-15 04:06:11.941844","2015-03-15 04:06:11.941844"
"230","Bhubaneswar*","Odisha","UA","6,58,220","2015-03-15 04:06:11.952782","2015-03-15 04:06:11.952782"
"231","Bhuj","Gujarat","\N","1,36,429","2015-03-15 04:06:11.963975","2015-03-15 04:06:11.963975"
"232","Bhusawal","Maharashtra","\N","\N","2015-03-15 04:06:11.97501","2015-03-15 04:06:11.97501"
"233","Bidar","Karnataka","\N","\N","2015-03-15 04:06:11.986097","2015-03-15 04:06:11.986097"
"234","Bidhan Nagar","West Bengal","\N","\N","2015-03-15 04:06:11.997176","2015-03-15 04:06:11.997176"
"235","Bihar Sharif","Bihar","M.Corp.","2,32,071","2015-03-15 04:06:12.008173","2015-03-15 04:06:12.008173"
"236","Bijapur","Karnataka","M.Corp.","\N","2015-03-15 04:06:12.019669","2015-03-15 04:06:12.019669"
"237","Bijbehara","Jammu and Kashmir","UA","13,986","2015-03-15 04:06:12.030344","2015-03-15 04:06:12.030344"
"238","Bijnor","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.041308","2015-03-15 04:06:12.041308"
"239","Bikaner","Rajasthan","\N","\N","2015-03-15 04:06:12.054051","2015-03-15 04:06:12.054051"
"240","Bikramganj","Bihar","N.A","38,408","2015-03-15 04:06:12.06367","2015-03-15 04:06:12.06367"
"241","Bilara","Rajasthan","\N","\N","2015-03-15 04:06:12.074734","2015-03-15 04:06:12.074734"
"242","Bilasipara","Assam","T.C","31,171","2015-03-15 04:06:12.085826","2015-03-15 04:06:12.085826"
"243","Bilaspur","Chhattisgarh","UA","3,35,293","2015-03-15 04:06:12.096868","2015-03-15 04:06:12.096868"
"244","Bilaspur","Himachal Pradesh","\N","\N","2015-03-15 04:06:12.107964","2015-03-15 04:06:12.107964"
"245","Biramitrapur","Odisha","M","29,447","2015-03-15 04:06:12.11898","2015-03-15 04:06:12.11898"
"246","Birgaon","Chhattisgarh","C.T","23,562","2015-03-15 04:06:12.130076","2015-03-15 04:06:12.130076"
"247","Bobbili","Andhra Pradesh","M","50,096","2015-03-15 04:06:12.141332","2015-03-15 04:06:12.141332"
"248","Bodhan","Andhra Pradesh","M","71,520","2015-03-15 04:06:12.152207","2015-03-15 04:06:12.152207"
"249","Bodh Gaya","Bihar","N.A","30,857","2015-03-15 04:06:12.163271","2015-03-15 04:06:12.163271"
"250","Bokaro Steel City","Jharkhand","UA","4,97,780","2015-03-15 04:06:12.175354","2015-03-15 04:06:12.175354"
"251","Bongaigaon City","Assam","UA","83,592","2015-03-15 04:06:12.185453","2015-03-15 04:06:12.185453"
"252","Bomdila","Arunachal Pradesh","\N","\N","2015-03-15 04:06:12.196509","2015-03-15 04:06:12.196509"
"253","Brahmapur","Odisha","UA","\N","2015-03-15 04:06:12.207573","2015-03-15 04:06:12.207573"
"254","Brajrajnagar","Odisha","M","76,959","2015-03-15 04:06:12.218658","2015-03-15 04:06:12.218658"
"255","Budaun","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.22955","2015-03-15 04:06:12.22955"
"256","Budhlada","Punjab","M.Cl","23,521","2015-03-15 04:06:12.240707","2015-03-15 04:06:12.240707"
"257","Bulandshahr","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.251771","2015-03-15 04:06:12.251771"
"258","Burhanpur","Madhya Pradesh","\N","\N","2015-03-15 04:06:12.262991","2015-03-15 04:06:12.262991"
"259","Burla","Odisha","\N","\N","2015-03-15 04:06:12.273927","2015-03-15 04:06:12.273927"
"260","Buxar","Bihar","M","83,168","2015-03-15 04:06:12.284985","2015-03-15 04:06:12.284985"
"261","Byasanagar","Odisha","UA","40,741","2015-03-15 04:06:12.297163","2015-03-15 04:06:12.297163"
"262","[[]]","Gujarat","\N","93,197","2015-03-15 04:06:12.306945","2015-03-15 04:06:12.306945"
"263","Chadchan","Karnataka","T.P.","23,648","2015-03-15 04:06:12.318156","2015-03-15 04:06:12.318156"
"264","Chaibasa","Jharkhand","M","63,648","2015-03-15 04:06:12.329347","2015-03-15 04:06:12.329347"
"265","Chakeri","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.340425","2015-03-15 04:06:12.340425"
"266","Chakradharpur","Jharkhand","UA","55,228","2015-03-15 04:06:12.351476","2015-03-15 04:06:12.351476"
"267","Chalisgaon","Maharashtra","\N","\N","2015-03-15 04:06:12.362551","2015-03-15 04:06:12.362551"
"268","Chamba","Himachal Pradesh","M Cl","20,327","2015-03-15 04:06:12.373722","2015-03-15 04:06:12.373722"
"269","Chamba","Uttarakhand","\N","\N","2015-03-15 04:06:12.385066","2015-03-15 04:06:12.385066"
"270","Champa","Chhattisgarh","M","37,951","2015-03-15 04:06:12.395789","2015-03-15 04:06:12.395789"
"271","Champawat","Uttarakhand","\N","\N","2015-03-15 04:06:12.406883","2015-03-15 04:06:12.406883"
"272","Champhai","Mizoram","N.T","26,465","2015-03-15 04:06:12.418767","2015-03-15 04:06:12.418767"
"273","Chamarajanagara","Karnataka","\N","\N","2015-03-15 04:06:12.428956","2015-03-15 04:06:12.428956"
"274","Chandigarh-The Beautiful City*","Chandigarh","M. C","8,08,515","2015-03-15 04:06:12.440116","2015-03-15 04:06:12.440116"
"275","Chandil","Jharkhand","\N","\N","2015-03-15 04:06:12.4517","2015-03-15 04:06:12.4517"
"276","Chandausi","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.462197","2015-03-15 04:06:12.462197"
"277","Chandrapura","Jharkhand","C.T","22,396","2015-03-15 04:06:12.473343","2015-03-15 04:06:12.473343"
"278","Chanpatia","Bihar","N.A","22,038","2015-03-15 04:06:12.505418","2015-03-15 04:06:12.505418"
"279","Charkhi Dadri","Haryana","M.C","44,895","2015-03-15 04:06:12.528677","2015-03-15 04:06:12.528677"
"280","Chapirevula","Andhra Pradesh","\N","\N","2015-03-15 04:06:12.541183","2015-03-15 04:06:12.541183"
